categoria,conducta,fundamento_conducta,fundamento_sancion,UMA_min,UMA_max,pesos_2026_min,pesos_2026_max,puntos,corralon,fundamento_corralon,observaciones,fuente_oficial
documentos,"Conducir sin licencia, con licencia vencida o de tipo incorrecto",RTCDMX art. 44-I-b,RTCDMX art. 44-I,10,20,1173.10,2346.20,0,si,RTCDMX art. 67-IV (remite al art. 44-I-a y b),"Para motocicleta: A1, A2 o la antigua A permanente 2003–2007. La permanente expedida desde 16-11-2024 no autoriza motocicleta.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,Conducir con licencia cancelada por puntos durante el periodo de impedimento,RTCDMX art. 66,RTCDMX art. 66,180,180,21115.80,21115.80,0,si,"RTCDMX art. 66, último párrafo",Remisión y multa fija de 180 UMA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,No portar tarjeta de circulación vigente física o digital,RTCDMX art. 45-IV,RTCDMX art. 45,20,30,2346.20,3519.30,0,si,RTCDMX art. 67-IV y VI (todas las fracciones del art. 45),La tarjeta digital es válida. La factura no sustituye la tarjeta para circular.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,Circular sin placa ni permiso vigente,RTCDMX art. 45-I,RTCDMX art. 45,20,30,2346.20,3519.30,0,si,RTCDMX art. 67-IV y VI,La excepción por pérdida exige denuncia/constancia y sólo dura 10 días hábiles.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,"Placa oculta, tapada, ilegible o con mica/objeto que impida lectura",RTCDMX arts. 45-I-b y 43-III,RTCDMX art. 45 (20–30 UMA); art. 43-III (10–20 UMA),20,30,2346.20,3519.30,0,si,RTCDMX art. 67-IV y VI por incumplir art. 45,La placa de motocicleta debe mirar hacia atrás y quedar entre 60° y 120° respecto de su eje horizontal.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,Placa que no corresponde al vehículo o no coincide con tarjeta/registros,RTCDMX art. 45-I-c,RTCDMX art. 45,20,30,2346.20,3519.30,0,si,RTCDMX arts. 45-I-c y 67-IV/VI,Retención de placas y remisión expresa; posible investigación adicional si hay falsedad o reporte.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,Placas válidas de otra entidad federativa,RTCDMX arts. 45 y 62; art. 64 regla 3-b,No es infracción por sí misma,,,,,0,no,No aplica por sí sola,"Son admisibles si corresponden al vehículo y están vigentes. Si se comete otra infracción, el sistema aplica el máximo y puede retener placa delantera, licencia o tarjeta como garantía.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,Permiso provisional vigente expedido por SEMOVI,RTCDMX art. 45-I,No hay sanción,,,,,0,condicionado,No aplica,Sustituye temporalmente placas dentro de su vigencia y condiciones.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,Permiso provisional expedido por otro estado,RTCDMX art. 45-I,Interpretación jurídica no concluyente,,,,,0,condicionado,RTCDMX art. 67-IV/VI si la autoridad lo considera incumplimiento del art. 45,El texto dice permiso expedido por “la Secretaría” (SEMOVI CDMX). No hay regla expresa de reconocimiento general de permisos foráneos en este artículo.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
documentos,No portar póliza vigente de responsabilidad civil,RTCDMX art. 46,RTCDMX art. 46,20,40,2346.20,4692.40,0,no,No aparece en RTCDMX art. 67,"NO ES CAUSAL DE CORRALÓN POR SÍ SOLA. Puede pedirse cancelación dentro de 45 días naturales desde la publicación de la boleta, presentando póliza vigente y demás requisitos.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
